,Link,Nama,Lokasi,Harga,Jenis,Listrik,Luas Kamar,K Mandi Dalam,AC,WiFi,Kasur,Akses 24 Jam,Panjang Kamar,Lebar Kamar,Maps,Latitude,Longitude,UPN,UNAIR Kampus Dharmahusada A,UNAIR Kampus Dharmawangsa B,UNAIR Kampus Merr C,ITS Kampus Sukolilo,ITS Kampus Manyar,ITS Kampus Cokroaminoto,UNESA Kampus Ketintang (Gayungan),UNESA Kampus Lidah Wetan (Lakarsantri),Kampus Terdekat,Jarak ke Kampus Terdekat
0,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-singgahsini-rungkut-asri-utara-xi-tipe-c-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Rungkut Asri Utara XI Tipe C Rungkut Surabaya,Rungkut,880000,Putri,Tidak termasuk listrik,5,No,No,Yes,Yes,Yes,2,2.5,"https://maps.google.com/maps?z=7&q=-7.3232453,112.7740903",-7.3232453,112.7740903,1.922106381,6.751502059,5.961819248,6.192288425,5.103928761,4.250717293,6.366513292,5.253935861,11.4571354,UPN,1.922106381
1,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-singgahsini-rungkut-asri-utara-xi-tipe-a-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Rungkut Asri Utara XI Tipe A Rungkut Surabaya,Rungkut,1275000,Putri,Tidak termasuk listrik,5,No,Yes,Yes,Yes,Yes,2,2.5,"https://maps.google.com/maps?z=7&q=-7.3232453,112.7740903",-7.3232453,112.7740903,1.922106381,6.751502059,5.961819248,6.192288425,5.103928761,4.250717293,6.366513292,5.253935861,11.4571354,UPN,1.922106381
2,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-singgahsini-rungkut-asri-utara-xi-tipe-b-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Rungkut Asri Utara XI Tipe B Rungkut Surabaya,Rungkut,925000,Putri,Tidak termasuk listrik,6,No,No,Yes,Yes,Yes,2,3,"https://maps.google.com/maps?z=7&q=-7.3232453,112.7740903",-7.3232453,112.7740903,1.922106381,6.751502059,5.961819248,6.192288425,5.103928761,4.250717293,6.366513292,5.253935861,11.4571354,UPN,1.922106381
3,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-singgahsini-rabbani-syariah-tipe-a-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Rabbani Syariah Tipe A Rungkut Surabaya,Rungkut,2525000,Putri,Tidak termasuk listrik,20,Yes,Yes,Yes,Yes,Yes,5,4,"https://maps.google.com/maps?z=7&q=-7.319905,112.7977001",-7.319905,112.7977001,1.747229182,7.520482167,6.860507532,5.906375672,4.194379193,5.280218055,7.991697154,7.795977758,13.94827492,UPN,1.747229182
4,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-singgahsini-rabbani-syariah-tipe-c-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Singgahsini Rabbani Syariah Tipe C Rungkut Surabaya,Rungkut,2025000,Putri,Tidak termasuk listrik,16,Yes,Yes,Yes,Yes,Yes,4,4,"https://maps.google.com/maps?z=7&q=-7.319905,112.7977001",-7.319905,112.7977001,1.747229182,7.520482167,6.860507532,5.906375672,4.194379193,5.280218055,7.991697154,7.795977758,13.94827492,UPN,1.747229182
5,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-singgahsini-rabbani-syariah-tipe-b-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Singgahsini Rabbani Syariah Tipe B Rungkut Surabaya,Rungkut,2325000,Putri,Tidak termasuk listrik,20,Yes,Yes,Yes,Yes,Yes,4,5,"https://maps.google.com/maps?z=7&q=-7.319905,112.7977001",-7.319905,112.7977001,1.747229182,7.520482167,6.860507532,5.906375672,4.194379193,5.280218055,7.991697154,7.795977758,13.94827492,UPN,1.747229182
6,https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-asri-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Asri Rungkut Surabaya,Rungkut,1350000,Putra,Tidak termasuk listrik,9,Yes,Yes,Yes,Yes,No,3,3,"https://maps.google.com/maps?z=7&q=-7.3256482938986,112.7763704583",-7.325648294,112.7763705,1.567192487,7.075873311,6.291773514,6.416216577,5.24029623,4.578740692,6.731667009,5.552635859,11.76266924,UPN,1.567192487
7,https://mamikos.com/room/kost-kabupaten-sidoarjo-kost-campur-eksklusif-kost-durian-residence-eksklusif-waru-sidoarjo?redirection_source=list%20kos%20result,Kost Durian Residence Eksklusif Waru Sidoarjo,Waru,1600000,Campur,Tidak termasuk listrik,12,Yes,Yes,Yes,Yes,Yes,3,4,"https://maps.google.com/maps?z=7&q=-7.341195,112.776893",-7.341195,112.776893,1.596425084,8.763048258,7.967709764,8.12628349,6.847497195,6.260928816,8.196134595,6.209143932,12.33854885,UPN,1.596425084
8,https://mamikos.com/room/kost-surabaya-kost-putra-eksklusif-kost-bale-modokan-tipe-b-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Bale Modokan Tipe B Rungkut Surabaya,Rungkut,1200000,Putra,Tidak termasuk listrik,9,No,Yes,Yes,Yes,Yes,3,3," https://maps.google.com/maps?z=7&q=-7.3268075248199,112.79144849628",-7.326807525,112.7914485,0.733952851,7.818436526,7.099197841,6.533478574,4.966263819,5.431254361,7.948978501,7.208316293,13.41186152,UPN,0.733952851
9,https://mamikos.com/room/kost-kabupaten-sidoarjo-kost-putri-murah-kost-amanah-i-tipe-standard-waru-sidoarjo-2?redirection_source=list%20kos%20result,Kost Amanah I Tipe Standard Waru Sidoarjo,Waru,750000,Putri,Termasuk listrik,9,Yes,No,Yes,Yes,Yes,3,3,"https://maps.google.com/maps?z=7&q=-7.3466862,112.8002328",-7.3466862,112.8002328,2.007096192,10.22742333,9.499397281,8.872061906,7.184975694,7.816329182,10.21336361,8.793926424,14.96260103,UPN,2.007096192
