,Link,Nama,Lokasi,Harga,Jenis,Listrik,Luas Kamar,K Mandi Dalam,AC,WiFi,Kasur,Akses 24 Jam,Panjang Kamar,Lebar Kamar,Latitude,Longitude,Kampus Terdekat,Jarak ke Kampus Terdekat,Kelompok Kampus
15,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-mst-private-rungkut-surabaya?redirection_source=list%20kos%20result,Kost MST Private Rungkut Surabaya,Rungkut,1700000,Campur,Tidak termasuk listrik,15.0,Yes,Yes,Yes,No,Yes,3.0,5.0,-7.329849,112.803445,UPN,1.6667562459999998,UPN
16,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-heluna-1-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Heluna 1 Gunung Anyar Surabaya,Gunung Anyar,1100000,Putri,Tidak termasuk listrik,12.0,No,Yes,Yes,Yes,Yes,3.0,4.0,-7.344483,112.8054,UPN,2.2616087940000003,UPN
17,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-putria-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Putria Rungkut Surabaya,Rungkut,1000000,Putri,Termasuk listrik,9.0,No,Yes,No,Yes,Yes,3.0,3.0,-7.318072999999999,112.788696,UPN,1.635852914,UPN
18,https://mamikos.com/room/kost-surabaya-kost-putra-eksklusif-kost-mapan-tengah-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Mapan Tengah Gunung Anyar Surabaya,Gunung Anyar,1500000,Putra,Tidak termasuk listrik,12.0,No,Yes,Yes,Yes,No,3.0,4.0,-7.323539299999999,112.7894871,UPN,1.0324008679999999,UPN
19,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-erly-tipe-b-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Erly Tipe B Gunung Anyar Surabaya,Gunung Anyar,1650000,Putri,Termasuk listrik,12.0,No,Yes,No,Yes,No,3.0,4.0,-7.3420380000000005,112.78871000000001,UPN,1.0289956009999999,UPN
20,https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-putra-poltek-pelayaran-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Putra Poltek Pelayaran Gunung Anyar Surabaya,Gunung Anyar,700000,Putra,Tidak termasuk listrik,12.0,No,No,Yes,Yes,Yes,3.0,4.0,-7.34233475,112.79301809999998,UPN,1.167265417,UPN
21,https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-sehati-tipe-a-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Sehati Tipe A Rungkut Surabaya,Rungkut,1350000,Putra,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,-7.33236554,112.79799950000002,UPN,1.0349629740000001,UPN
22,https://mamikos.com/room/kost-surabaya-kost-putri-murah-kost-ibu-liek-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Ibu Liek Rungkut Surabaya,Rungkut,1000000,Putri,Termasuk listrik,9.0,No,No,No,Yes,Yes,3.0,3.0,-7.3307091,112.78272630000001,UPN,0.690214863,UPN
23,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-grand-bougenville-exclusive-rungkut-surabaya-1?redirection_source=list%20kos%20result,Kost Grand Bougenville Exclusive Rungkut Surabaya,Rungkut,1500000,Putri,Tidak termasuk listrik,12.0,Yes,Yes,Yes,Yes,Yes,3.0,4.0,-7.330579826,112.78743519999999,UPN,0.278024166,UPN
24,https://mamikos.com/room/kost-kota-surabaya-kost-putra-murah-kost-melon-25-gunung-anyar-surabaya-2?redirection_source=list%20kos%20result,Kost Melon 25 Gunung Anyar Surabaya,Gunung Anyar,1000000,Putra,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,-7.34385,112.804895,UPN,2.175716331,UPN
25,https://mamikos.com/room/kost-surabaya-kost-campur-eksklusif-kost-tentoo-stay-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Tentoo Stay Rungkut Surabaya,Rungkut,2000000,Campur,Tidak termasuk listrik,12.0,Yes,Yes,Yes,No,Yes,3.0,4.0,-7.3280256999999995,112.78004550000001,UPN,1.084065718,UPN
26,https://mamikos.com/room/kost-surabaya-kost-campur-murah-kost-umi-siti-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Umi Siti Rungkut Surabaya,Rungkut,850000,Campur,Tidak termasuk listrik,12.0,Yes,No,Yes,Yes,No,3.0,4.0,-7.33084386,112.801768,UPN,1.465501121,UPN
